"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.46665818859353E-06","2.43835282054823E-06","1.63312356514246E-06","1.48770502333102E-06","2.759777831075E-06","","","","",
"American Samoa","ASM","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Antigua and Barbuda","ATG","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Australia","AUS","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","0.135861104644286","0.1057036939559","0.107817931036259","0.103849655163199","0.29403319600046","1.10757538668422","1.2298431675518","1.29400217126807","1.00881389900051","0.858020342849833","0.840994537059568","1.38263480300504","1.43840584348905","1.19460091036769","0.892541982031882","0.996734887793282","0.604786413751141","0.199458277424828","0.226122705286209","0.315628214490081","0.371730522630293","0.353411435057268","0.258757261664356","0.139803081661993","0.0548026318167938","0.171957307124255","0.111276066385766","0.103289754405005","0.175055580055072","0.10742712955668","0.184104025753703","0.63498237850381","0.402755328418002","0.230063115657696","0.933946347350269","1.00528465592215","1.07281199355498","0.861705552072965","2.95865213970117","1.49919129745478","2.01394646953452","2.3534770034687","1.19179744642538","0.812671152247083","0.752873824759254","0.467415278392218","0.595294475037987","0.778130785108022","0.79660582885988","0.691993900604111","0.544915652209042","0.786459619916648","","","","",
"Austria","AUT","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","0","0.00245134912462368","0.00237528934145309","0.00221020129899631","0.00453750015299986","0.0327027509529406","0.0314880517534944","0.0258553906397475","0.0148123140176083","0.00952480725769667","0.0189885371019289","0.0490770095594218","0.0565606922699493","0.0223364483968497","0.0125056420048415","0.0187483810013569","0.00379891536429127","0.000798353731172658","0.000873345753564737","0.00107829972070801","0.00358143714503986","0.00274034910773822","0.00121855906834936","0.000130239635275604","0.000129468152051776","0.000511301969276774","0.000233081867276575","0.000114286698089811","0.000216698086158728","4.31017610698708E-05","0.000464061351706893","0.0015114146178692","0.000549068760579831","0.000387887474053995","0.000657103641540715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Azerbaijan","AZE","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Burundi","BDI","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Belgium","BEL","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","0.103914070238202","0.109287889565036","0.0810819029751491","0.0598173005823316","0.0949765360110765","0.199802509915643","0.215707270693015","0.18084217510018","0.128705751372925","0.101108937936163","0.100434966241103","0.166290387985566","0.215949360169918","0.158606160194101","0.130387348392295","0.118018411734512","0.0558627595896272","0.0205057825046749","0.00372536653626451","0.000267624168013302","0.00232404069195222","0.0012470566009104","0.000211152948087146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Benin","BEN","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Burkina Faso","BFA","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Bangladesh","BGD","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00691360941835017","0.0124673577202567","0.0199079952644518","0.0636567644064419","0.0333654229570058","0.0375672237551005","0.0395969861926023","0.0341521338114773","0.0260913874063632","0.0214685808700036","0.0105820886256824","0.0132346228332281","0.0181189029918176","0.0155150936968582","0.00907068775272057","0.00725364048807305","0.0132526717304666","","","","",
"Bulgaria","BGR","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0.478499990963023","0.974165372984558","1.18188731794378","0.588508462498243","0.313229449748101","0.427395617644185","0.123137543630079","0.0294596711311685","0.0523169345500681","0.0697530956652046","0.23038490908711","0.374247644325709","0.266539948764714","0.0272036549607669","0.0385525863719554","0.101534051499835","0.0930147997207232","0.0404969355292273","0.0590828158269289","0.0110017165265266","0.101417887783121","0.334376008911218","0.0960634979265377","0.0827719717576597","0.624654478990527","0.326958692145695","0.309202090108577","0.435744738295089","1.10494843954048","0.321963838214618","0.676778240205424","0.91873863918182","0.372702923222966","0.159088406568224","0.139417174798032","0.115667271860324","0.106692897175964","0.144852465138495","0.135710834308309","0.0885343509010314","0.0586012880990349","0.126365577523338","","","","",
"Bahrain","BHR","Coal rents (% of GDP)","NY.GDP.COAL.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
